feature,mean_abs_shap
prior_subject_s_aureus_positive_90d,0.62060845
index_hours_draw_to_alert,0.5083927
prealert_blood_culture_draws_7d,0.3567228
lab_platelets_last_24h,0.19998983
lab_platelets_min_24h,0.16897912
anchor_age,0.13724275
prior_subject_s_aureus_positive_365d,0.13440517
lab_creatinine_last_24h,0.12109775
prealert_blood_culture_draws_24h,0.12023382
lab_creatinine_max_24h,0.104449265
in_icu_at_alert,0.05721349
lab_lactate_max_24h,0.04085053
prior_subject_cons_positive_365d,0.0397804
prealert_blood_culture_draws_6h,0.039622407
prior_positive_specimens_7d,0.038703516
prior_subject_cons_positive_90d,0.03445066
prior_subject_any_staph_positive_365d,0.032009006
lab_creatinine_count_24h,0.03098211
lab_wbc_last_24h,0.030151304
vital_map_count_24h,0.029047692
lab_lactate_last_24h,0.028705198
vital_resp_rate_last_24h,0.027895704
vital_temperature_c_min_24h,0.02562304
vital_temperature_c_max_24h,0.022168815
vital_map_min_24h,0.021746038
mechanical_ventilation_chart_events_24h,0.020576876
vital_heart_rate_max_24h,0.018366197
vital_heart_rate_last_24h,0.018287305
vital_heart_rate_min_24h,0.017271966
vital_temperature_c_count_24h,0.016999027
lab_wbc_min_24h,0.016470823
vital_temperature_c_last_24h,0.016135603
lab_platelets_count_24h,0.013481083
prealert_additional_draws_24h,0.012729197
vital_spo2_last_24h,0.012186458
vital_map_last_24h,0.011488604
vital_spo2_min_24h,0.010917919
vital_resp_rate_max_24h,0.010544927
vital_heart_rate_count_24h,0.0091925515
vasopressor_event_count_24h,0.008892034
lab_wbc_max_24h,0.005603339
prior_subject_cons_positive_365d_flag,0.0053406144
vital_spo2_count_24h,0.004893843
lab_lactate_count_24h,0.0037405281
vital_resp_rate_count_24h,0.0033868568
prior_subject_any_staph_positive_365d_flag,0.0024349743
vasopressor_on_at_alert,0.0012304782
mechanical_ventilation_24h,0.0004978115
prior_positive_specimens_24h,0.00024017411
vasopressor_active_24h,0.0
lab_wbc_count_24h,0.0
prior_gp_positive_specimens_7d,0.0
prior_gp_positive_specimens_24h,0.0
prior_subject_s_aureus_positive_365d_flag,0.0
